鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
三民區,房地(土地+建物),高雄市三民區鼎義街121~150號,15.7,住,,,1070918,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900308,105.4,3,2,2,有,有,4550000,43169,,0.0,0,,RPSOMLMKIINFFDE97CA
三民區,房地(土地+建物),高雄市三民區淵明街31~60號,80.8,住,,,1070829,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0690509,221.9,6,2,4,有,無,6150000,27715,,0.0,0,,RPXNMLRKIINFFDE88CA
左營區,房地(土地+建物)+車位,高雄市左營區文萊路18巷1~30號,26.28,住,,,1070920,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050613,143.86,2,1,1,有,有,9300000,64646,其他,0.0,0,,RPPNMLNJIINFFEE67CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區藍昌路241~270號,24.67,住,,,1070914,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1061226,154.23000000000002,2,2,2,有,無,7380000,47851,坡道平面,20.5,0,,RPPNMLMJIINFFEE57CA
左營區,房地(土地+建物),高雄市左營區明華一路181~210號,2.79,商,,,1070917,土地1建物1車位0,十四層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830530,29.05,1,1,1,有,有,1500000,51635,,0.0,0,,RPRNMLMJIINFFEE77CA
左營區,房地(土地+建物)+車位,高雄市左營區緯六路181~210號,33.94,住,,,1070919,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991126,173.08999999999997,3,1,2,有,有,3556199,20545,坡道平面,0.0,0,向國防部價購之案件,RPOQMLPJIINFFEE08CA
左營區,房地(土地+建物)+車位,高雄市左營區緯六路181~210號,33.94,住,,,1070919,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991126,173.08999999999997,3,1,2,有,有,3556199,20545,坡道平面,0.0,0,向國防部價購之案件,RPPQMLPJIINFFEE18CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區通昌街91~120號,19.08,住,,,1070804,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070430,157.68,3,2,2,有,無,6980000,44267,坡道平面,0.0,0,,RPQNMLKKIINFFEE57CA
楠梓區,房地(土地+建物),高雄市楠梓區土庫三路151~180號,155.0,商,,,1070911,土地1建物1車位0,全,四層,透天厝,住商用,見使用執照,0920319,374.7,8,3,7,有,無,27500000,73392,,0.0,0,,RPSOMLLKIINFFEE97CA
左營區,房地(土地+建物),高雄市左營區緯六路181~210號,33.94,住,,,1070920,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991126,173.08999999999997,3,2,2,有,有,3556199,20545,,0.0,0,眷戶價購自治新村改建基地,RPXNMLMKIINFFEE48CA
