鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
社頭鄉,土地,山腳段961~990地號,380.92,,鄉村區,乙種建築用地,1070803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5184000,13609,,0.0,0,,RPPNMLTJIINFFEN56CA
員林市,房地(土地+建物),彰化縣員林市南興街61~90號,14.5,住,,,1070827,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741224,36.51,6,1,3,有,無,3100000,84908,,0.0,0,,RPPNMLRKIINFFDN98CA
員林市,房地(土地+建物),彰化縣員林市條和六街121~150號,161.46,住,,,1070830,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060328,302.09,5,2,5,有,無,25600000,84743,,0.0,0,,RPQNMLRKIINFFDN09CA
員林市,房地(土地+建物),彰化縣員林市至善街121~150號,29.58,住,,,1070906,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850824,148.09,3,2,2,有,無,4700000,31737,,0.0,0,,RPWNMLOLIINFFDN86CA
大村鄉,土地,貢旗段391~420地號,2053.96,,特定農業區,農牧用地,1070912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6700000,3262,,0.0,0,,RPPNMLPLIINFFDN88CA
大村鄉,房地(土地+建物),彰化縣大村鄉山腳路121~150號,113.82,,鄉村區,乙種建築用地,1070828,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040114,164.07,4,2,3,有,無,8880000,54123,,0.0,0,,RPXNMLPJIINFFDN86CA
和美鎮,土地,忠明段661~690地號,602.0,,鄉村區,乙種建築用地,1070821,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12200000,20266,,0.0,0,,RPTNMLQKIINFFBN09CA
和美鎮,土地,和北段421~450地號,301.0,其他,,,1070918,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1824060,6060,,0.0,0,,RPQNMLTLIINFFBN56CA
和美鎮,房地(土地+建物),彰化縣和美鎮東谷路140巷1~30號,1645.68,住,,,1070816,土地4建物2車位0,全,一層,透天厝,工業用,鋼筋混凝土加強磚造,0670911,266.55,0,0,0,無,無,46000000,172576,,0.0,0,,RPQNMLTJIINFFBN98CA
伸港鄉,土地,永慶段1051~1080地號,1792.0,,特定農業區,農牧用地,1070912,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4480000,2500,,0.0,0,,RPQNMLPJIINFFBN58CA
